## Function Groups
    Overlap Studies             重叠研究
    Momentum Indicators         动量指标
    Volume Indicators           成交量指标
    Volatility Indicators       波动性指标
    Price Transform             价格指标
    Cycle Indicators            周期指标
    Pattern Recognition         形态识别
    Statistic Functions         统计函数
    Math Transform              数学变换
    Math Operators              数学运算符


## Overlap Studies
    BBANDS                      Bollinger Bands #布林带
    DEMA                        Double Exponential Moving Average #双指数移动平均线
    EMA                         Exponential Moving Average #指数滑动平均
    HT_TRENDLINE                Hilbert Transform - Instantaneous Trendline #希尔伯特变换瞬时趋势
    KAMA                        Kaufman Adaptive Moving Average #卡玛考夫曼自适应移动平均
    MA                          Moving average #均线
    MAMA                        MESA Adaptive Moving Average #自适应移动平均
    MAVP                        Moving average with variable period #变周期移动平均
    MIDPOINT                    MidPoint over period #在周期的中点
    MIDPRICE                    Midpoint Price over period #中间时段价格
    SAR                         Parabolic SAR #抛物线转向指标
    SAREXT                      Parabolic SAR - Extended #抛物线转向指标 - 扩展
    SMA                         Simple Moving Average# 简单移动平均线
    T3                          Triple Exponential Moving Average (T3)
    TEMA                        Triple Exponential Moving Average
    TRIMA                       Triangular Moving Average
    WMA                         Weighted Moving Average#加权移动平均线

## Momentum Indicators
    ADX                         Average Directional Movement Index
    ADXR                        Average Directional Movement Index Rating
    APO                         Absolute Price Oscillator
    AROON                       Aroon
    AROONOSC                    Aroon Oscillator
    BOP                         Balance Of Power
    CCI                         Commodity Channel Index
    CMO                         Chande Momentum Oscillator
    DX                          Directional Movement Index
    MACD                        Moving Average Convergence/Divergence
    MACDEXT                     MACD with controllable MA type
    MACDFIX                     Moving Average Convergence/Divergence Fix 12/26
    MFI                         Money Flow Index
    MINUS_DI                    Minus Directional Indicator
    MINUS_DM                    Minus Directional Movement
    MOM                         Momentum
    PLUS_DI                     Plus Directional Indicator
    PLUS_DM                     Plus Directional Movement
    PPO                         Percentage Price Oscillator
    ROC                         Rate of change : ((price/prevPrice)-1)*100
    ROCP                        Rate of change Percentage: (price-prevPrice)/prevPrice
    ROCR                        Rate of change ratio: (price/prevPrice)
    ROCR100                     Rate of change ratio 100 scale: (price/prevPrice)*100
    RSI                         Relative Strength Index
    STOCH                       Stochastic
    STOCHF                      Stochastic Fast
    STOCHRSI                    Stochastic Relative Strength Index
    TRIX                        1-day Rate-Of-Change (ROC) of a Triple Smooth EMA
    ULTOSC                      Ultimate Oscillator
    WILLR                       Williams' %R

## Volume Indicators
    AD                          Chaikin A/D Line
    ADOSC                       Chaikin A/D Oscillator
    OBV                         On Balance Volume

## Volatility Indicators
    ATR                         Average True Range
    NATR                        Normalized Average True Range
    TRANGE                      True Range

## Price Transform
    AVGPRICE                    Average Price
    MEDPRICE                    Median Price
    TYPPRICE                    Typical Price
    WCLPRICE                    Weighted Close Price

## Cycle Indicators
    HT_DCPERIOD                 Hilbert Transform - Dominant Cycle Period
    HT_DCPHASE                  Hilbert Transform - Dominant Cycle Phase
    HT_PHASOR                   Hilbert Transform - Phasor Components
    HT_SINE                     Hilbert Transform - SineWave
    HT_TRENDMODE                Hilbert Transform - Trend vs Cycle Mode

## Pattern Recognition
    CDL2CROWS                   Two Crows
    CDL3BLACKCROWS              Three Black Crows
    CDL3INSIDE                  Three Inside Up/Down
    CDL3LINESTRIKE              Three-Line Strike
    CDL3OUTSIDE                 Three Outside Up/Down
    CDL3STARSINSOUTH            Three Stars In The South
    CDL3WHITESOLDIERS           Three Advancing White Soldiers
    CDLABANDONEDBABY            Abandoned Baby
    CDLADVANCEBLOCK             Advance Block
    CDLBELTHOLD                 Belt-hold
    CDLBREAKAWAY                Breakaway
